Country,Year,Cholera Case Fatality Rate
AFG,2015,0.01
BDI,2015,0
BHR,2015,0
CAN,2015,0
CHE,2015,0
CHN,2015,0
CIV,2015,3
CMR,2015,4.8
COD,2015,1.4
CUB,2015,0
DOM,2015,2.7
ESP,2015,0
FRA,2015,0
GBR,2015,0
GHA,2015,1.2
HTI,2015,0.9
IND,2015,0.4
IRN,2015,1.2
IRQ,2015,0.04
KEN,2015,0.5
KWT,2015,0
MEX,2015,0
MMR,2015,11.7
MOZ,2015,0.7
MWI,2015,1.6
MYS,2015,0.8
NER,2015,7.8
NGA,2015,3.5
NOR,2015,0
NPL,2015,0
OMN,2015,0
SOM,2015,1.1
SSD,2015,2.6
SWE,2015,0
TGO,2015,2.9
THA,2015,0.8
TZA,2015,1.2
UGA,2015,2.3
USA,2015,0
ZWE,2015,0
